category,company,contract_type,created_date,description,has_ai_keywords,id,is_remote,location,month,posting_date,redirect_url,requires_js,requires_python,role,salary,salary_max,salary_min,scraped_date,source,text_length,thread_id
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:10Z,"Job Description: The Nursing Director provides leadership and operational direction to Peri-op / Surgical Services at Lutheran Hospital and partners with the hospital Chief Nursing Officer and other management to ensure optimal patient care, financial goals, and leadership development. Along with offering a chance to work in a stable, strong, mission-based environment, this role provides the opportunity to experience the Mountain West’s diverse culture and incredible landscapes. You’ll be able …",False,adz_5462939884,False,"Wheat Ridge, Jefferson County",,2025-10-24 13:06:10,https://www.adzuna.com/details/5462939884?utm_medium=api&utm_source=4ad8a509,False,False,Director Nursing Peri-Op Services,$159k-$159k,159000.34,159000.34,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:10Z,"Job Description: Responsible for completing Angiography procedures, scrubbing, setting techniques, and taking images. If you are interested in learning more about this role or about Intermountain Health, click here to schedule time with me! Posting Specifics Shift Details : Part-time (30 hours), Variable, three 10's. Call, Holiday Coverage Unit/Location: Saint Joseph Hospital Additional Details: Please review Minimum Qualifications listed below before applying. Are you interested in advancing y…",False,adz_5462939875,False,"Glendale, Denver",,2025-10-24 13:06:10,https://www.adzuna.com/details/5462939875?utm_medium=api&utm_source=4ad8a509,False,False,Angio Interventionalist,$100k-$100k,100424.88,100424.88,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:08Z,"Job Description: Radiology Technologists at Intermountain Health are committed to providing patient centered care while demonstrating our values of Integrity, Trust, Excellence, Accountability, and Mutual Respect. If you are interested in contributing to our mission of helping people live the healthiest lives possible- come join our team! What does it mean to be a caregiver with Intermountain? Check out this video and learn more and discover the “Power of We.” To learn more about this exciting …",False,adz_5462939778,False,"Brighton, Adams County",,2025-10-24 13:06:08,https://www.adzuna.com/details/5462939778?utm_medium=api&utm_source=4ad8a509,False,False,Radiology Technologist,$81k-$81k,81108.2,81108.2,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:04Z,"Job Description: MRI Technologists at Intermountain Health are committed to providing patient centered care while demonstrating our values of Integrity, Trust, Excellence, Accountability, and Mutual Respect. If you are interested in contributing to our mission of helping people live the healthiest lives possible- come join our team! What does it mean to be a caregiver with Intermountain? Check out this video and learn more and discover the “Power of We.” To learn more about this exciting opport…",False,adz_5462939615,False,"Wheat Ridge, Jefferson County",,2025-10-24 13:06:04,https://www.adzuna.com/details/5462939615?utm_medium=api&utm_source=4ad8a509,False,False,MRI Technologist,$99k-$99k,98970.95,98970.95,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:03Z,"Job Description: Radiology Technologists at Intermountain Health are committed to providing patient centered care while demonstrating our values of Integrity, Trust, Excellence, Accountability, and Mutual Respect. If you are interested in contributing to our mission of helping people live the healthiest lives possible- come join our team! What does it mean to be a caregiver with Intermountain? Check out this video and learn more and discover the “Power of We.” To learn more about this exciting …",False,adz_5462939584,False,"Lafayette, Boulder County",,2025-10-24 13:06:03,https://www.adzuna.com/details/5462939584?utm_medium=api&utm_source=4ad8a509,False,False,Radiology Technologist Travel Team,$91k-$91k,90819.11,90819.11,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:03Z,Job Description: The CV Invasive Specialist performs duties necessary for cardiac catheterization procedures at a technical and professional level requiring some proctoring and supervision of technical detail. The Specialist performs a variety of technical procedures that require some independent judgment. The CV Invasive Specialist assumes responsibility and initiative for designated areas and procedures as required. To show our commitment to you and assist with your transition into our organi…,False,adz_5462939609,False,"Glendale, Denver",,2025-10-24 13:06:03,https://www.adzuna.com/details/5462939609?utm_medium=api&utm_source=4ad8a509,False,False,"Cardiovascular Technologist EP $15,000 Sign On Bonus",$65k-$65k,65262.07,65262.07,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:06:02Z,"Job Description: The Registered Nurse (RN) is a professional caregiver who assumes responsibility and accountability for assessing, planning, implementing, and evaluating the care of patients. The staff RN utilizes the nursing process by use of technology, therapeutic intervention, evidence-based practice and coordination of care with other health team members. Essential Functions Shift- Night Shift Assess: Performs appropriate assessment of physical, social, and psychological status (including…",False,adz_5462939531,False,"Lafayette, Boulder County",,2025-10-24 13:06:02,https://www.adzuna.com/details/5462939531?utm_medium=api&utm_source=4ad8a509,False,False,Registered Nurse Telemetry,$124k-$124k,123920.68,123920.68,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Heart and Vascular - Denver - Intermountain Health,,2025-10-24T13:03:50Z,"Cardio-Thoracic Surgery - Physician at Heart and Vascular - Denver - Intermountain Health summary: A Cardiothoracic Surgeon at Intermountain Health provides advanced surgical care for heart and vascular conditions, collaborating within a multidisciplinary team to deliver high-quality patient outcomes. This role involves performing complex procedures such as coronary artery bypass grafting, valve replacements, and structural heart interventions at a top-tier hospital recognized for excellence in…",False,adz_5462936922,False,"Glendale, Denver",,2025-10-24 13:03:50,https://www.adzuna.com/details/5462936922?utm_medium=api&utm_source=4ad8a509,False,False,Cardio-Thoracic Surgery - Physician,$135k-$135k,135192.25,135192.25,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:03:12Z,"Job Description: CT/X-ray Technologists at Intermountain Health are committed to providing patient centered care while demonstrating our values of Integrity, Trust, Excellence, Accountability, and Mutual Respect. If you are interested in contributing to our mission of helping people live the healthiest lives possible- come join our team! What does it mean to be a caregiver with Intermountain? Check out this video and learn more and discover the “Power of We.” To learn more about this exciting o…",False,adz_5462935258,False,"Glendale, Denver",,2025-10-24 13:03:12,https://www.adzuna.com/details/5462935258?utm_medium=api&utm_source=4ad8a509,False,False,CT Technologist Travel Team,$98k-$98k,97879.39,97879.39,2025-10-24,adzuna,500,
Healthcare & Nursing Jobs,Intermountain Health,,2025-10-24T13:03:11Z,"Job Description: Join Our Team as an MRI Technologist! We are seeking a dedicated and skilled MRI Technologist to join our healthcare team. If you're passionate about providing exceptional care and want to work in an environment that values growth, we’d love to hear from you! Discover why Intermountain Health is a great place to work (youtube.com) Posting Specifics Entry Rate: $38.77 depending on experience Benefits Eligible: No Shift Details: PRN, no guaranteed hours Minimum Qualifications Ame…",False,adz_5462935075,False,"Boise, Ada County",,2025-10-24 13:03:11,https://www.adzuna.com/details/5462935075?utm_medium=api&utm_source=4ad8a509,False,False,MRI Technologist,$123k-$123k,122911.66,122911.66,2025-10-24,adzuna,500,
